Studio Color Code	BL Color Code	LDraw Color Code	LDD color code	Studio Color Name	BL Color Name	LDraw Color Name	LDD Color Name	RGB value	Alpha	CategoryName	Color Group Index		Ins_RGB	Ins_CMYK
37	37	74	29	Medium Green	Medium Green	Medium_Green	Medium green	#72DBA0	1	Solid Colors	12	o		48,0,27,14
116	116	75	316	Speckle Black-Copper	Speckle Black-Copper	Speckle_Black_Copper	Titanium Metallic	#000000	1	Speckle Colors	-1	to_lego		100,100,100,100
117	117	76	304	Speckle DBGray-Silver	Speckle DBGray-Silver	Speckle_Dark_Bluish_Gray_Silver	Cool Silver, Diffuse	#625E60	1	Speckle Colors	-1	o		0,4,2,62
56	56	77	223	Light Pink	Light Pink	Light_Pink	Light Pink	#FDCBCE	1	Solid Colors	2	o		0,20,19,1
90	90	78	283	Light Nougat	Light Nougat	Light_Flesh	Light Nougat	#F5D6B2	1	Solid Colors	6	o		0,13,27,4
60	60	79	20	Milky White	Milky White	Milky_White	Nature	#FEFEFE	0.8784314	Milky Colors	-1	o		0,0,0,0
67	67	80	298	Metallic Silver	Metallic Silver	Metallic_Silver	Cool silver, Drum Lacquered	#A4A8B3	1	Metallic Colors	-1	o		
67		80	336	Metallic Silver		Metallic_Silver	SILVER INK	#A4A8B3	1	Metallic Colors	-1	from_lego		8,6,0,30
67		80	1002	Metallic Silver		Metallic_Silver	C.SILVER DR. L	#A4A8B3	1	Metallic Colors	-1	from_lego		
67		80	1015	Metallic Silver		Metallic_Silver	C.SILVER	#A4A8B3	1	Metallic Colors	-1	from_lego		
70	70	81	200	Metallic Green	Metallic Green	Metallic_Green	Lemon Metallic	#889A5E	1	Metallic Colors	11	o		12,0,39,40
65	65	82	310	Metallic Gold	Metallic Gold	Metallic_Gold	Metalized Gold	#DAAB33	1	Metallic Colors	8	to_lego		0,22,77,15
65		82	335	Metallic Gold	Metallic Gold	Metallic_Gold	GOLD INK	#DAAB33	1	Metallic Colors	8	from_lego		0,22,77,15
65		82	1004	Metallic Gold	Metallic Gold	Metallic_Gold	W.GOLD DR.LA.	#DAAB33	1	Metallic Colors	8	from_lego		
1006	11	83	149	Metallic Black	Black	Metallic_Black	Metallic Black	#192730	1	Metallic Colors	-1	to_bl		48,19,0,81
1006		83	316	Metallic Black	Black	Metallic_Black	Titanium Metallic	#192730	1	Metallic Colors	-1	from_lego		48,19,0,81
150		84	209	Medium Nougat	Medium Nougat	Medium_Dark_Flesh	DARK Curry	#CB6F29	1	Solid Colors	5	from_lego		0,45,80,20
150	150	84	312	Medium Nougat	Medium Nougat	Medium_Dark_Flesh	Medium Nougat	#CB6F29	1	Solid Colors	5	o		0,45,80,20
89	89	85	268	Dark Purple	Dark Purple	Dark_Purple	Medium Lilac	#3E3590	1	Solid Colors	19	o		57,63,0,44
89		85	197	Dark Purple		Dark_Purple	Bright Lilac	#3E3590	1	Solid Colors	19	from_lego		57,63,0,44
91	91	86	217	Medium Brown	Medium Brown	Dark_Flesh	Brown	#7B4F39	1	Solid Colors	4	o		0,36,54,52
91		86	86	Medium Brown		Dark_Flesh	Brown	#7B4F39	1	Solid Colors	4	from_lego		
91		86	176	Medium Brown		Dark_Flesh	Flip/Flop Red	#7B4F39	1	Solid Colors	4	from_lego		
77	77	87	337	Metallic Dark Grey		Metallic_Dark_Gray	Titanium	#6C6D5B	1	Pearl Colors	-1	ignore,to_bl		
97	97	89	195	Blue-Violet	Blue-Violet	Blue_Violet	R. BLUE	#4B60DA	1	Solid Colors	18	o		66,56,0,15
28	28	92	18	Nougat	Nougat	Flesh	Nougat	#CF9067	1	Solid Colors	4	o		0,30,50,19
28		92	225	Nougat	Nougat	Flesh	Warm Yellowish Orange	#CF9067	1	Solid Colors	4	from_lego		0,30,50,19
26	26	100	100	Light Salmon	Light Salmon	Light_Salmon	Light red	#FDB9BC	1	Solid Colors	2	o		0,27,26,1
43	43	110	110	Violet	Violet	Violet	Bright Bluish Violet	#4253A2	1	Solid Colors	18	o		59,49,0,36
43		110	1009	Violet		Violet	LILAC	#4253A2	1	Solid Colors	18	from_lego		
73	73	112	112	Medium Violet	Medium Violet	Medium_Violet	Medium Bluish Violet	#6773C9	1	Solid Colors	18	o		49,43,0,21
73		112	213	Medium Violet		Medium_Violet	Medium Royal Blue	#6773C9	1	Solid Colors	18	from_lego		
100	100	114	114	Glitter Trans-Dark Pink	Glitter Trans-Dark Pink	Glitter_Trans_Dark_Pink	Tr. Medium Reddish-Violet w. Glitter 2%	#DF6695	0.5019608	Glitter Colors	0	o		0,54,33,13
76	76	115	115	Medium Lime	Medium Lime	Medium_Lime	Med. yellowish green	#C6D13B	1	Solid Colors	9	o		5,0,72,18
76		115	134	Medium Lime	Medium Lime	Medium_Lime	Neon Green	#C6D13B	1	Solid Colors	9	from_lego		5,0,72,18
101	101	117	117	Glitter Trans-Clear	Glitter Trans-Clear	Glitter_Trans_Clear	Transparent Glitter	#FEFEFE	0.5019608	Glitter Colors	-1	o		0,0,0,0
41	41	118	118	Aqua	Aqua	Aqua	Light bluish green	#B2D6D0	1	Solid Colors	13	o		17,0,3,16
35	35	120	120	Light Lime	Light Lime	Light_Lime	Lig. yellowish green	#e2db5f	1	Solid Colors	10	o		0,3,58,11
32	32	125	125	Light Orange	Light Orange	Light_Orange	Light Orange	#F8B960	1	Solid Colors	5	o		0,25,61,3
168	225	128	128	Dark Nougat	Dark Nougat	Dark_Nougat	Dark_Nougat	#A95500	1	Solid Colors	7	o		
68		128	178	Dark Orange	Dark Orange	Dark_Nougat	Yellow Flip/Flop	#A95500	1	Solid Colors	7	from_lego		
102	102	129	129	Glitter Trans-Purple	Glitter Trans-Purple	Glitter_Trans_Purple	Tr. Bright Bluish Violet w. Glitter 2%	#630060	0.5019608	Glitter Colors	20	o		0,100,3,61
111	111	132	316	Speckle Black-Silver	Speckle Black-Silver	Speckle_Black_Silver	Titanium Metallic	#000000	1	Speckle Colors	-1	to_lego		100,100,100,100
151	151	133	316	Speckle Black-Gold	Speckle Black-Gold	Speckle_Black_Gold	Titanium Metallic	#000000	1	Speckle Colors	-1	to_lego		100,100,100,100
84		134	1016	COOPER INK		Copper	Copper	#954926	1	Pearl Colors	4	from_lego		
84	84	134	139	Copper	Copper	Copper	Copper	#954926	1	Pearl Colors	4	o		0,51,74,42
66	66	135	179	Pearl Light Gray	Pearl Light Gray	Pearl_Light_Gray	Silver flip/flop	#9BA2A7	1	Pearl Colors	-1	o		7,3,0,35
78		137	137	Metal Blue	Metal Blue	Metal_Blue	Metal Blue	#5576B9	1	Pearl Colors	16	from_lego		
78	78	137	145	Metal Blue	Metal Blue	Metal_Blue	Sand blue metallic	#5576B9	1	Pearl Colors	16	o		54,36,0,27
61	61	142	127	Pearl Light Gold	Pearl Light Gold	Pearl_Light_Gold	Gold	#DBBD60	1	Pearl Colors	8	o		0,14,56,14
77	77	148	148	Pearl Dark Gray	Pearl Dark Gray	Pearl_Dark_Gray	Metallic Dark Grey	#565756	1	Pearl Colors	-1	o		1,0,1,66
77		148	168	Pearl Dark Gray		Pearl_Dark_Gray	Gun Metallic	#565756	1	Pearl Colors	-1	from_lego		1,0,1,66
119	119	150	150	Pearl Very Light Gray	Pearl Very Light Gray	Pearl_Very_Light_Gray	Metallic Light Grey	#BABCBB	1	Pearl Colors	-1	o		1,0,1,26
99	99	151	208	Very Light Bluish Gray	Very Light Bluish Gray	Very_Light_Bluish_Gray	Light stone grey	#E5E2DF	1	Solid Colors	-1	o		0,1,3,10
81	81	178	147	Flat Dark Gold	Flat Dark Gold	Flat_Dark_Gold	Metallic Sand Yellow	#B3873D	1	Pearl Colors	7	o		0,25,66,30
